date,open,high,low,close,adjclose,volume,ema_fast,ema_slow,macd,signal,histogram,position,entry_price,exit_price,action,cash,portfolio_value,returns,strategy_returns,shares_held,cummax,drawdown,date_only
2021-01-19,378.34,379.23,376.75,378.65,353.46,51233300,378.65,378.65,0.0,0,0.0,0,,,HOLD,100000.0,100000.0,0.0,0.0,0.0,100000.0,0.0,2021-01-19
2021-01-20,381.11,384.79,380.69,383.89,358.35,61836100,379.4561538461538,379.03814814814814,0.4180056980056861,0,0.33440455840454886,0,,,HOLD,100000.0,100000.0,0.0,0.0,0.0,100000.0,0.0,2021-01-20
2021-01-21,384.49,384.95,383.25,384.24,358.68,47840100,380.1921301775148,379.4234705075446,0.7686596699701909,0,0.5480468242952429,0,,,HOLD,100000.0,100000.0,0.0,0.0,0.0,100000.0,0.0,2021-01-21
2021-01-22,382.25,384.13,381.84,382.88,357.41,52860500,380.6056486117433,379.67950972920795,0.9261388825353265,0,0.5644208294883029,0,,,HOLD,100000.0,100000.0,0.0,0.0,0.0,100000.0,0.0,2021-01-22
2021-01-25,383.67,384.77,378.46,384.39,358.82,70402000,381.1878565176289,380.02843493445175,1.1594215831771635,0,0.6381628241041118,0,,,HOLD,100000.0,100000.0,0.0,0.0,0.0,100000.0,0.0,2021-01-25
2021-01-26,385.41,385.85,383.54,383.79,358.26,42665300,381.5881862841475,380.30706938375164,1.2811169003958867,0,0.607886513058268,0,,,HOLD,100000.0,100000.0,0.0,0.0,0.0,100000.0,0.0,2021-01-26
2021-01-27,380.22,380.32,372.01,374.41,349.5,123351100,380.4838499327402,379.8702494293997,0.6136005033405354,0,-0.047703907197666706,0,,,HOLD,100000.0,100000.0,0.0,0.0,0.0,100000.0,0.0,2021-01-27
2021-01-28,376.36,381.93,375.89,377.63,352.51,94198100,380.044796096934,379.70430502722195,0.34049106971207266,0,-0.2566506726609036,0,,,HOLD,100000.0,100000.0,0.0,0.0,0.0,100000.0,0.0,2021-01-28
2021-01-29,375.63,376.67,368.27,370.07,345.45,126765100,378.5102120820211,378.9906528029833,-0.4804407209621786,-1,-0.862065970668124,0,,,HOLD,100000.0,100000.0,0.0,0.0,0.0,100000.0,0.0,2021-01-29
2021-02-01,373.72,377.34,370.38,376.23,351.2,75817600,378.15941022324864,378.7861600027623,-0.6267497795136592,-1,-0.8067000233756836,0,,,HOLD,100000.0,100000.0,0.0,0.0,0.0,100000.0,0.0,2021-02-01
2021-02-02,379.65,383.22,376.32,381.55,356.17,64450700,378.6810394196719,378.99088889144656,-0.3098494717746689,-1,-0.39183977250935464,0,,,HOLD,100000.0,100000.0,0.0,0.0,0.0,100000.0,0.0,2021-02-02
2021-02-03,382.44,383.7,380.48,381.85,356.45,52427100,379.16857181664545,379.20267489948753,-0.03410308284207986,-1,-0.09287470686141247,0,,,HOLD,100000.0,100000.0,0.0,0.0,0.0,100000.0,0.0,2021-02-03
2021-02-04,382.96,386.24,381.97,386.19,360.5,47142600,380.24879153716154,379.72025453656255,0.5285370005989876,0,0.37581230126372395,0,,,HOLD,100000.0,100000.0,0.0,0.0,0.0,100000.0,0.0,2021-02-04
2021-02-05,388.2,388.47,386.14,387.71,361.92,48669800,381.3966697622136,380.31208753385425,1.084582228359352,0,0.7454860232192707,0,,,HOLD,100000.0,100000.0,0.0,0.0,0.0,100000.0,0.0,2021-02-05
2021-02-08,389.27,390.56,388.35,390.51,364.53,38365200,382.79872056802685,381.0674884572725,1.7312321107543767,0,1.113708724491436,0,,,HOLD,100000.0,100000.0,0.0,0.0,0.0,100000.0,0.0,2021-02-08
2021-02-09,389.61,390.89,389.17,390.25,364.29,35551100,383.9450712498689,381.7476744974745,2.1973967523943543,0,1.263898692905131,0,,,HOLD,100000.0,100000.0,0.0,0.0,0.0,100000.0,0.0,2021-02-09
2021-02-10,392.12,392.28,387.5,390.08,364.13,59154400,384.88890644219674,382.3648837939579,2.5240226482388266,0,1.2724196709996827,0,,,HOLD,100000.0,100000.0,0.0,0.0,0.0,100000.0,0.0,2021-02-10
2021-02-11,391.24,391.69,388.1,390.71,364.72,42913300,385.78445929724336,382.98304054996106,2.8014187472822982,0,1.2398526160345233,0,,,HOLD,100000.0,100000.0,0.0,0.0,0.0,100000.0,0.0,2021-02-11
2021-02-12,389.85,392.9,389.77,392.64,366.52,50593300,386.83915786689823,383.6983708795936,3.1407869873046366,0,1.2633766848454893,0,,,HOLD,100000.0,100000.0,0.0,0.0,0.0,100000.0,0.0,2021-02-12
2021-02-16,393.96,394.17,391.53,392.3,366.2,50972400,387.679287425837,384.3355285922163,3.3437588336207114,0,1.1730788249292514,0,,,HOLD,100000.0,100000.0,0.0,0.0,0.0,100000.0,0.0,2021-02-16
2021-02-17,390.42,392.66,389.33,392.39,366.29,52290600,388.4040124372467,384.93215610390394,3.471856333342771,0,1.0409410597210487,0,,,HOLD,100000.0,100000.0,0.0,0.0,0.0,100000.0,0.0,2021-02-17
2021-02-18,389.59,391.52,387.74,390.72,364.73,59712800,388.7603182161318,385.3608852813925,3.399432934739309,0,0.7748141288940693,0,,,HOLD,100000.0,100000.0,0.0,0.0,0.0,100000.0,0.0,2021-02-18
2021-02-19,392.07,392.38,389.55,390.03,364.08,83241000,388.95565387518843,385.706745630919,3.248908244269444,0,0.4994315507393634,0,,,HOLD,100000.0,100000.0,0.0,0.0,0.0,100000.0,0.0,2021-02-19
2021-02-22,387.06,389.62,386.74,387.03,361.28,67414200,388.6593994328517,385.80476447307313,2.8546349597785934,0,0.0841266129988103,0,,,HOLD,100000.0,100000.0,0.0,0.0,0.0,100000.0,0.0,2021-02-22
