date,open,high,low,close,adjclose,volume,signal,action,position,shares_held,entry_price,cash,portfolio_value,cummax,drawdown,daily_returns
2021-01-19,378.34,379.23,376.75,378.65,353.46,51233300,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,
2021-01-20,381.11,384.79,380.69,383.89,358.35,61836100,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-01-21,384.49,384.95,383.25,384.24,358.68,47840100,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-01-22,382.25,384.13,381.84,382.88,357.41,52860500,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-01-25,383.67,384.77,378.46,384.39,358.82,70402000,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-01-26,385.41,385.85,383.54,383.79,358.26,42665300,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-01-27,380.22,380.32,372.01,374.41,349.5,123351100,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-01-28,376.36,381.93,375.89,377.63,352.51,94198100,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-01-29,375.63,376.67,368.27,370.07,345.45,126765100,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-02-01,373.72,377.34,370.38,376.23,351.2,75817600,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-02-02,379.65,383.22,376.32,381.55,356.17,64450700,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-02-03,382.44,383.7,380.48,381.85,356.45,52427100,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-02-04,382.96,386.24,381.97,386.19,360.5,47142600,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-02-05,388.2,388.47,386.14,387.71,361.92,48669800,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-02-08,389.27,390.56,388.35,390.51,364.53,38365200,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-02-09,389.61,390.89,389.17,390.25,364.29,35551100,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-02-10,392.12,392.28,387.5,390.08,364.13,59154400,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-02-11,391.24,391.69,388.1,390.71,364.72,42913300,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-02-12,389.85,392.9,389.77,392.64,366.52,50593300,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-02-16,393.96,394.17,391.53,392.3,366.2,50972400,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-02-17,390.42,392.66,389.33,392.39,366.29,52290600,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-02-18,389.59,391.52,387.74,390.72,364.73,59712800,-1,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-02-19,392.07,392.38,389.55,390.03,364.08,83241000,-1,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-02-22,387.06,389.62,386.74,387.03,361.28,67414200,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-02-23,384.66,388.95,380.2,387.5,361.72,107284100,-1,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-02-24,386.33,392.23,385.27,391.77,365.71,72433900,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-02-25,390.41,391.88,380.78,382.33,356.9,146670500,-1,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-02-26,384.35,385.58,378.23,380.36,355.06,152701600,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-03-01,385.59,390.92,380.57,389.58,363.66,105348800,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-03-02,389.82,390.07,386.0,386.54,360.83,79595300,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-03-03,385.79,386.83,381.31,381.42,356.05,119940200,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-03-04,381.22,384.0,371.88,376.7,351.64,183433000,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-03-05,380.46,384.76,372.64,383.63,358.11,152039600,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-03-08,384.66,387.68,381.42,381.72,356.33,123149200,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-03-09,385.85,389.91,385.31,387.17,361.41,113633600,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-03-10,389.69,391.4,388.17,389.58,363.66,109899400,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-03-11,392.23,395.65,391.74,393.53,367.35,86245000,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-03-12,392.07,394.21,391.2,394.06,367.85,64653600,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-03-15,394.33,396.69,392.03,396.41,370.04,73427200,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-03-16,397.07,397.83,395.08,395.91,369.57,73722500,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-03-17,394.53,398.12,393.3,397.26,370.83,97959300,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-03-18,394.48,396.72,390.75,391.48,365.44,115349100,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-03-19,389.88,391.57,387.15,389.48,364.76,113624500,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-03-22,390.03,394.07,389.97,392.59,367.67,73778600,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-03-23,391.91,393.46,388.66,389.5,364.78,90686600,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-03-24,391.0,392.75,387.47,387.52,362.93,97588600,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-03-25,385.98,390.55,383.9,389.7,364.97,116128600,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-03-26,390.93,396.41,390.29,395.98,370.85,114409100,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-03-29,394.4,396.75,392.81,395.78,370.66,108107600,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-03-30,394.42,395.45,393.02,394.73,369.68,76262200,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-03-31,395.34,398.0,395.31,396.33,371.18,112734200,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-04-01,398.4,400.67,398.18,400.61,375.18,99682900,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-04-05,403.46,406.94,403.38,406.36,380.57,91684800,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-04-06,405.76,407.24,405.4,406.12,380.35,62021000,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-04-07,405.94,406.96,405.45,406.59,380.79,55836300,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-04-08,407.93,408.58,406.93,408.52,382.59,57863100,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-04-09,408.39,411.67,408.26,411.49,385.37,61104600,-1,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-04-12,410.85,411.93,410.2,411.64,385.51,56704900,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-04-13,411.53,413.53,411.12,412.86,386.66,56551000,-1,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-04-14,412.83,413.96,410.87,411.45,385.34,61659900,-1,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-04-15,413.74,416.16,413.69,415.87,389.48,60229800,-1,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-04-16,417.25,417.91,415.73,417.26,390.78,82037300,-1,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-04-19,416.26,416.74,413.79,415.21,388.86,78498500,-1,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-04-20,413.91,415.09,410.59,412.17,386.01,81851800,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-04-21,411.51,416.29,411.36,416.07,389.66,66793000,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-04-22,415.89,416.78,411.13,412.27,386.1,97582800,-1,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-04-23,412.87,418.25,412.79,416.74,390.29,73209200,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-04-26,417.44,418.22,416.81,417.61,391.11,52182400,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-04-27,417.93,418.14,416.3,417.52,391.02,51303100,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-04-28,417.81,419.01,416.9,417.4,390.91,51238900,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-04-29,420.32,420.72,416.44,420.06,393.4,78544300,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-04-30,417.63,418.54,416.34,417.3,390.82,85527000,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
2021-05-03,419.43,419.84,417.67,418.2,391.66,68128300,0,HOLD,0,0,,100000.0,100000.0,100000.0,0.0,0.0
